"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"7","1.03","GOTERM_CC_DIRECT","extracellular matrix","5","57","434","27008","8.33","1.25e-2","2.59e-1","5.46","8.39e-1","2.56e-1","2.21e-3","SERPINB1A,TGFB1,CILP,KAZALD1,COCH"
"7","1.03","GOTERM_CC_DIRECT","extracellular region","9","57","2302","27008","15.00","1.01e-1","8.62e-1","1.85","1.00e+0","8.50e-1","5.08e-2","SERPINB1A,TGFB1,CILP,IGFBP2,TGFA,OTOR,KAZALD1,COCH,TNFRSF22"
"7","1.03","UP_KW_CELLULAR_COMPONENT","Secreted","9","51","1914","19181","15.00","1.21e-1","6.04e-1","1.77","9.60e-1","5.80e-1","6.33e-2","SERPINB1A,TGFB1,CILP,IGFBP2,TGFA,OTOR,KAZALD1,COCH,TNFRSF22"
"7","1.03","UP_KW_CELLULAR_COMPONENT","Extracellular matrix","3","51","267","19181","5.00","1.54e-1","6.40e-1","4.23","9.84e-1","6.14e-1","3.40e-2","TGFB1,CILP,KAZALD1"
"7","1.03","GOTERM_CC_DIRECT","extracellular space","6","57","1753","27008","10.00","2.98e-1","1.00e+0","1.62","1.00e+0","9.93e-1","1.63e-1","SERPINB1A,TGFB1,CILP,IGFBP2,TGFA,KAZALD1"
"8","1.02","GOTERM_BP_DIRECT","nervous system development","5","54","496","26568","8.33","1.71e-2","9.64e-1","4.96","1.00e+0","9.64e-1","3.31e-3","ROBO2,HES6,MAP1B,STMN1,ARHGEF2"
"8","1.02","UP_KW_BIOLOGICAL_PROCESS","Differentiation","5","25","802","11883","8.33","7.45e-2","5.21e-1","2.96","8.86e-1","5.21e-1","2.37e-2","ROBO2,HES6,STMN1,ARHGEF2,KAZALD1"
"8","1.02","UP_KW_BIOLOGICAL_PROCESS","Neurogenesis","3","25","283","11883","5.00","1.11e-1","6.20e-1","5.04","9.63e-1","6.20e-1","2.09e-2","ROBO2,STMN1,ARHGEF2"
"8","1.02","UP_KW_MOLECULAR_FUNCTION","Developmental protein","6","34","1083","12802","10.00","1.42e-1","1.00e+0","2.09","9.95e-1","1.00e+0","6.30e-2","ROBO2,HES6,LBH,STMN1,ARHGEF2,KAZALD1"
"8","1.02","UP_KW_MOLECULAR_FUNCTION","Developmental protein","6","34","1083","12802","10.00","1.42e-1","1.00e+0","2.09","9.95e-1","1.00e+0","6.30e-2","ROBO2,HES6,LBH,STMN1,ARHGEF2,KAZALD1"
"8","1.02","UP_SEQ_FEATURE","COMPBIAS:Acidic residues","9","56","2128","22290","15.00","1.50e-1","1.00e+0","1.68","1.00e+0","1.00e+0","8.22e-2","ROBO2,HES6,LBH,CRYBG3,MAP1B,FEZ1,HCLS1,ARHGEF2,KAZALD1"
