"celltype","Reversal_norm","Reversal_DR","Reversal_sAct","Aged"
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.175504982118603,-0.212332534052651,-0.387371525092573,-0.0494014922842898
"FAPs",-0.173327775117979,-0.100103360511441,-0.598904339463666,-0.107406924687389
"FAPs",-0.0140081552863631,-0.0971426806592062,-0.776874114503996,-0.0978468333771937
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"FAPs",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"FAPs",-0.0108631275926264,-0.0796613503935207,-0.747090564305711,-0.0152406823946121
"Myonuclei (Myh1+)",0,0,0,0
"Macrophages",0.225053511734893,0.230406545954521,-0.594499670117456,0.211319482772166
"Myonuclei",0,0,0,0
"Myonuclei (neuromuscular junction nuclei)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.0203066506113281,-0.189262806861936,2.81964245953384,0.0232166624669052
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0539336409962946,-0.288161396391475,3.31203939282733,-0.00600874164469327
"FAPs",-0.202041272358298,-0.140627111971516,-2.86402691019734,-0.060543206960592
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"FAPs",-0.149577681162321,-0.108133210211179,-0.263288312789493,-0.0753465550307148
"FAPs",0.0488002346320787,-0.00712564767665686,-0.660677610876176,-0.0103146105259421
"FAPs",-0.198175853607392,-0.210667808283239,-0.793885428588523,-0.03207820808215
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Muscle stem cell",-0.0290323676359547,0.172453932613694,-0.260159934750304,0.00642702009137286
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0,0,0,0
"Macrophages",0.0919457373390271,-0.0410428495275706,-0.808381169081909,0.265119547902001
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.0548418573881311,0.195183394170996,-0.609329462750201,-0.124314522848732
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.201398259769797,-0.171160264465769,-0.792558279871271,-0.0114513126502427
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.110608012711102,0.0390814693638472,-0.473315421475746,-0.0916816275641996
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.148925302762187,0.132816802015295,-0.555650002167031,0.15327638276078
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0.210212243034887,0.0342020864641216,-0.523945874222396,0.298846879949278
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.156287404860722,-0.159662341584658,-0.399779843673163,-0.0929287793851174
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0295334546585048,-0.0625039121360994,-0.574675917581768,-0.0343287722123568
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",-0.250517870854705,-0.540105554743197,1.2601030874653,-0.204597679184236
"Muscle stem cell",-0.234331427756892,-0.247850559901276,-0.374120365453502,0.0630481813164993
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Macrophages",0.165863857324088,0.105182827999342,-0.750348420378184,0.141336335149523
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.139517863743744,-0.118682630344807,-0.51654787071561,-0.059072838339668
"Tenocytes",0.0854416037722255,0.242231182243807,-0.51120076128272,0.0382131272126759
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0504324122065521,0.0607782148135385,-0.694899201978777,-0.0318660285865001
"Endothelial cells",0.0659117609874207,0.0970311918271969,3.9428960086451,-0.0189122429192696
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0.0942459841544914,-0.162050222773482,-0.416200742388124,0.112341637845336
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh4+?)",-0.132786747509772,-0.320490169516297,0.897082264561534,-0.267875427410461
"FAPs",-0.103847862429563,-0.15345797508564,-0.50128013051437,-0.100615416148482
"Myonuclei",0,0,0,0
"FAPs",-0.0576406926535835,-0.0907774101059637,-0.597657334231057,0.000770790533037892
"FAPs",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.142223968943638,-0.253382294287015,-0.326198046302325,-0.0946448111110843
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0.225683960341909,0.161753201461151,-0.505513714541402,0.345321120951016
"FAPs",0.0600227354968214,0.171759464109137,-0.858030700737183,-0.0838581116345494
"Myonuclei",0,0,0,0
"Myonuclei (myotendinous junction nuclei)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0152014775994411,0.0143654818768765,2.72288465647345,-0.0333871901857671
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",-0.0721873745272418,0.0040292516669516,-0.52302206173968,0.0794757534746296
"FAPs",-0.0293694871438881,0.0080241335604585,-0.412965648005096,-0.0593142971568411
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Macrophages",0.111082376592129,-0.0122987185007087,-0.588061173424375,-0.0266001202347761
"FAPs",-0.0761106940716857,-0.193889594510236,-0.603597485213333,0.040399027483618
"FAPs",0.00928446396196506,0.17835570448304,-0.51870194632988,0.0187811694278145
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.168987809289285,0.269804210663092,-0.366874293587843,0.0356073965041099
"Myonuclei",0,0,0,0
"FAPs",-0.234442623184637,-0.296724323552942,-0.536356788992101,-0.0937555101424608
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
