"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"PT-2","vSMC/MC","Pdgfd","Pdgfrb",0.00369769018122922,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PC","vSMC/MC","Pdgfd","Pdgfrb",0.00316633924925318,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"vSMC/MC","vSMC/MC","Pdgfd","Pdgfrb",0.0131344345517326,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"IMM","vSMC/MC","Pdgfd","Pdgfrb",0.00287577530772657,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PECs?","vSMC/MC","Pdgfd","Pdgfrb",0.0198943094130905,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PROLIF","vSMC/MC","Pdgfd","Pdgfrb",0.00859225541144803,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"TAL-1","IMM","Pdgfd","Pdgfrb",0.000736576485797285,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"TAL-1","PECs?","Pdgfd","Pdgfrb",0.00269060438914991,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-2","PECs?","Pdgfd","Pdgfrb",0.00167150456325076,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-4","PECs?","Pdgfd","Pdgfrb",0.00286673141434839,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-1(gEC)","PECs?","Pdgfd","Pdgfrb",0.0021214950282832,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-5","PECs?","Pdgfd","Pdgfrb",0.00375358963538429,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
