"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol"
"ENSMUSG00000029335",119.375570152054,1.97971943227981,0.244137280187946,1.65533886790963e-17,4.49768234205666e-16,9.01465252580315e-13,1.7628063932534,"Bmp3"
"ENSMUSG00000029345",617.109048156637,-0.237848823600413,0.105147491240194,0.0179796307909497,0.0481606818347267,0.551528928019153,-0.0850214167498312,"Tfip11"
"ENSMUSG00000029359",366.275367839189,0.919830892715221,0.145497576210914,2.06208547002189e-11,3.00680483235084e-10,6.94758945287096e-06,0.657522421540914,"Tesc"
"ENSMUSG00000029366",113.889030702851,0.501336038702213,0.211865209575352,0.00521356951717358,0.0167300232538021,0.0409959582928935,0.428916026325637,"Dck"
"ENSMUSG00000029378",19.6914742635332,3.20748771731888,1.08559188679999,2.99592158481183e-06,2.04411267239529e-05,0.000113817337124641,2.8819139302618,"Areg"
"ENSMUSG00000029380",138.505340188383,2.36372301924978,0.753139802028471,7.1430059668566e-06,4.5158056476418e-05,0.000279305042568162,2.08738514165324,"Cxcl1"
"ENSMUSG00000029390",4626.56017229669,-0.332420147282694,0.0754797527998183,6.36234668549523e-06,4.05319388942392e-05,0.744791564713787,-0.0368974588295213,"Tmed2"
"ENSMUSG00000029392",396.2316777557,0.500487718921678,0.121257877089716,1.06366449767519e-05,6.53544120922518e-05,0.0016164243287077,0.402947695617175,"Rilpl1"
"ENSMUSG00000029397",605.662487870161,-0.291508083879069,0.115210030118841,0.00751867540547303,0.0229424570634325,0.0399401396522677,-0.266646892776168,"Rchy1"
"ENSMUSG00000029401",406.736784086636,-0.748296743951008,0.253993470076461,0.000379141477429702,0.00166425620052954,0.00321541219588289,-0.693105083064156,"Rilpl2"
"ENSMUSG00000029403",459.92548416792,0.610023206759637,0.146693709114796,5.47906293688476e-06,3.54961181601632e-05,0.353642093196828,0.159107706364221,"Cdkl2"
"ENSMUSG00000029414",31.6891769090489,1.68904868418001,0.601371728426775,0.000109435302027986,0.000544715264543365,0.197510690482736,0.473077273422622,"Kntc1"
"ENSMUSG00000029426",1291.96499697253,0.341044102465509,0.107435233423685,0.000855983041523931,0.00345678105845065,0.610031301562801,0.0754391880328489,"Scarb2"
"ENSMUSG00000029427",696.238271749142,-0.402090548045225,0.186045750006644,0.0133210963965318,0.0375167496786492,0.377142120481748,-0.186565053633245,"Zcchc8"
"ENSMUSG00000029432",1992.45789790079,0.634690098163994,0.0911860279687531,4.85423841624216e-13,8.44671459848122e-12,2.06154752991212e-08,0.524557945052275,"Nipsnap2"
