"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol","ENSEMBL_clean"
"ENSMUSG00000032340",1014.46055159545,-0.235682415863239,0.0925316141728716,0.00834734072352522,0.0251469645032101,0.9852436011175,0.00335231750401761,"Neo1","ENSMUSG00000032340"
"ENSMUSG00000032349",1103.46979479251,-0.438185814605802,0.089712924748656,4.08308207312486e-07,3.2200007673426e-06,4.4855244790092e-05,-0.387303285965949,"Elovl5","ENSMUSG00000032349"
"ENSMUSG00000032374",731.061290709832,0.553469765354949,0.155741494089239,8.57091806244672e-05,0.000437319110682408,0.0958712997183674,0.277236549536432,"Plod2","ENSMUSG00000032374"
"ENSMUSG00000032376",788.907493856822,-0.439727121915826,0.149610950575409,0.00125116717479983,0.00482417769062218,0.0713443974315386,-0.291517237696987,"Usp3","ENSMUSG00000032376"
"ENSMUSG00000032382",1416.25070692086,-0.387492429250659,0.120608967478597,0.000628217283013965,0.00261175032229614,0.00449810565026498,-0.367620417222674,"Snx1","ENSMUSG00000032382"
"ENSMUSG00000032393",2195.83023432981,-0.297597571902904,0.0602514645510072,5.26403994675925e-07,4.0658831262561e-06,0.000443178513694597,-0.232590623266024,"Dpp8","ENSMUSG00000032393"
"ENSMUSG00000032405",690.366334018238,-0.273059239437908,0.115515421959821,0.0125315057589719,0.0355852538606786,0.884547860470891,0.0269702646752907,"Pias1","ENSMUSG00000032405"
"ENSMUSG00000032409",556.178268661707,-0.492724157006676,0.136026137080269,8.77936052707073e-05,0.000447037126274731,0.0232123088329676,-0.328214794167552,"Atr","ENSMUSG00000032409"
"ENSMUSG00000032413",730.04631623437,-0.565392819499059,0.221070955520651,0.00234825391942526,0.00841066490247596,0.488498416714685,-0.163035730926104,"Rasa2","ENSMUSG00000032413"
"ENSMUSG00000032420",1447.84405687128,-0.439057689438219,0.202063650082814,0.0111438577040066,0.0322104615426518,0.313635616666292,-0.219872031846562,"Nt5e","ENSMUSG00000032420"
"ENSMUSG00000032437",2674.39427899676,-0.578174441579409,0.0934901101907575,1.20298855808443e-10,1.58033285546507e-09,2.49787208534733e-06,-0.454601723435952,"Stt3b","ENSMUSG00000032437"
"ENSMUSG00000032440",1748.21778608324,0.279088545969075,0.0734765930690416,0.000102100447134036,0.000512279463433109,0.860665797830103,-0.0212135327070749,"Tgfbr2","ENSMUSG00000032440"
"ENSMUSG00000032456",149.803717753965,-0.480044239535242,0.169039601372088,0.00143291450035732,0.00544247763840307,0.0113292492045192,-0.439413918690877,"Nmnat3","ENSMUSG00000032456"
"ENSMUSG00000032479",1779.0946551425,0.542487958937591,0.0903886358353679,4.55701644437224e-10,5.5433944992122e-09,7.69072408712066e-06,0.421874252343197,"Map4","ENSMUSG00000032479"
"ENSMUSG00000032485",1477.10572544965,-0.314494426425284,0.112330402167149,0.00316230704927298,0.0109192925178803,0.563144526900849,-0.087198024389925,"Scap","ENSMUSG00000032485"
"ENSMUSG00000032487",53.5759985637568,0.854945941376,0.547546351407239,0.0129245855692233,0.0365736721570693,0.404601747784131,0.293035764683773,"Ptgs2","ENSMUSG00000032487"
"ENSMUSG00000032519",416.661721504982,-0.514913253498236,0.139579406206678,6.08659090777618e-05,0.000320339260557715,0.109140833575495,-0.244868359336098,"Slc25a38","ENSMUSG00000032519"
