"GeneID","log2FoldChange_aging","padj_aging","log2FoldChange_intervention","padj_intervention","Symbol","LFC_Sum","rescue_significant"
"ENSMUSG00000001864",1.22399974933031,1.23477927067193e-34,-0.0953401527046571,0.361658332365088,"Aif1l",1.12865959662566,"No"
"ENSMUSG00000001870",0.455219789010053,0.00878220772693233,-0.501539504186446,0.00605776932064534,"Ltbp1",-0.0463197151763928,"Yes"
"ENSMUSG00000001891",-0.533859505373504,3.18176524059514e-09,0.0484778442258922,0.696085910025708,"Ugp2",-0.485381661147612,"No"
"ENSMUSG00000001930",1.59856924722268,4.87336376787299e-08,-0.072070912954584,0.590411545639032,"Vwf",1.5264983342681,"No"
"ENSMUSG00000001946",0.635413809843656,8.60680544550622e-06,-0.0391970984534514,0.795210823356297,"Esam",0.596216711390204,"No"
"ENSMUSG00000001983",-0.751744404207867,1.40792493519076e-09,0.0437303442348721,0.758082637642026,"Taco1",-0.708014059972995,"No"
"ENSMUSG00000001999",-0.634112843571141,1.38326923420172e-06,0.234237198442983,0.0532414178865862,"Blvra",-0.399875645128158,"No"
"ENSMUSG00000002033",0.950100045658766,0.0228149631785249,-0.118643007285565,0.349659444060109,"Cd3g",0.831457038373201,"No"
"ENSMUSG00000002052",-0.401190844823571,0.000198722073209467,0.0595458051345407,0.631569932400165,"Supt6",-0.34164503968903,"No"
"ENSMUSG00000002058",0.578330164673372,0.0328726394559028,-0.113782505664406,0.391231594972013,"Unc119",0.464547659008966,"No"
"ENSMUSG00000002068",1.51237384555758,0.00259059625542168,-0.180725451697796,0.211470568186166,"Ccne1",1.33164839385978,"No"
"ENSMUSG00000002105",0.783964828494797,4.33902857866409e-08,-0.0830930186203444,0.495115950073475,"Slc39a13",0.700871809874453,"No"
"ENSMUSG00000002107",0.802283481427796,0.000330132127334901,-0.0992714208892661,0.441639876644882,"Celf2",0.70301206053853,"No"
"ENSMUSG00000002204",-1.32342181251989,7.83447836550775e-27,0.329150142759973,0.00993053847685819,"Napsa",-0.994271669759918,"Yes"
"ENSMUSG00000002205",-0.357427019961257,0.0115118935865055,0.0415966628707391,0.775731175679608,"Vrk3",-0.315830357090518,"No"
"ENSMUSG00000002222",-0.285506936477471,0.0463284808337974,0.284164554344618,0.0294713620474169,"Rmnd5a",-0.00134238213285298,"Yes"
"ENSMUSG00000002279",-0.615565227732258,2.45690059913567e-06,0.0215399192607273,0.897066310861485,"Lmf1",-0.594025308471531,"No"
"ENSMUSG00000002297",0.683206104494068,0.00310047797949148,-0.0807857039605211,0.536290537536942,"Dbf4",0.602420400533547,"No"
"ENSMUSG00000002325",0.652989264643302,0.00146181659734179,-0.00616970821549039,0.976059545001004,"Irf9",0.646819556427812,"No"
"ENSMUSG00000002365",-0.657755490892071,1.55788871802272e-19,0.0541175460794233,0.617607161412308,"Snx9",-0.603637944812648,"No"
"ENSMUSG00000002413",-0.512015577656376,0.000363215669492815,0.0311020903261068,0.842395132708277,"Braf",-0.480913487330269,"No"
"ENSMUSG00000002458",1.13322752639239,0.00025517999041022,-0.348680461636918,0.074187454957392,"Rgs19",0.78454706475547,"No"
"ENSMUSG00000002489",1.18530857670899,1.42727128759242e-06,-0.00597131321018187,0.97655784822407,"Tiam1",1.17933726349881,"No"
"ENSMUSG00000002550",-0.862583629217922,2.23917081582246e-15,0.0440485661211389,0.748522030411218,"Uck1",-0.818535063096783,"No"
"ENSMUSG00000002565",1.82017188150907,1.77010077451751e-29,-0.0852143153332083,0.493537613865739,"Scin",1.73495756617587,"No"
"ENSMUSG00000002603",0.459642923989952,0.0107821481583583,-0.0661720643590038,0.620809091062235,"Tgfb1",0.393470859630948,"No"
"ENSMUSG00000002688",0.36937250567066,0.0179437660647595,-0.104609871805115,0.37778503923102,"Prkd1",0.264762633865545,"No"
"ENSMUSG00000002748",-0.413050725542175,0.00183426860386152,0.00306041991861064,0.987268977350127,"Baz1b",-0.409990305623564,"No"
"ENSMUSG00000002767",-0.274443031362477,0.0257640144924736,0.000843117040196432,0.997814758142814,"Mrpl2",-0.273599914322281,"No"
"ENSMUSG00000002769",-1.42693257225953,5.42239142368059e-07,0.929459065847826,0.00134653605208663,"Gnmt",-0.497473506411704,"Yes"
"ENSMUSG00000002808",0.847372409069279,2.01410353671103e-10,-0.401935792317968,0.00309016496845938,"Epdr1",0.445436616751311,"Yes"
"ENSMUSG00000002844",0.33812330896044,0.0160578582823461,-0.00920367011442087,0.96173676346425,"Adprh",0.328919638846019,"No"
"ENSMUSG00000002870",0.920894453540936,7.04702471240279e-09,-0.567048317695852,0.000760122998731844,"Mcm2",0.353846135845084,"Yes"
"ENSMUSG00000002897",-0.8453579017002,5.05998544967039e-07,0.232968008338459,0.0922259579149847,"Il17ra",-0.612389893361742,"No"
"ENSMUSG00000002900",0.204762027062581,0.0496715475237312,-0.0691684779676413,0.539816650489871,"Lamb1",0.13559354909494,"No"
